January,
Squad,
Utilization,10.75%
Target Utilization,15.00%
,
Biggie,
Utilization,26.45%
Target Utilization,30.00%
,
Smalls,
Display Price,8.06%
MSRP,10.00%
,
February,
Squad,
Utilization,17.86%
Target Utilization,20.00%
,
Biggie,
Utilization,32.24%
Target Utilization,35.00%
,
Smalls,
Display Price,25.00%
MSRP,30.00%
,
March,
Squad,
Utilization,44.09%
Target Utilization,50.00%
,
Biggie,
Utilization,32.26%
Target Utilization,40.00%
,
Smalls,
Display Price,35.38%
MSRP,40.00%
,
April,
Squad,
Utilization,67.78%
Target Utilization,70.00%
,
Biggie,
Utilization,59.35%
Target Utilization,65.00%
,
Smalls,
Display Price,35.00%
MSRP,45.00%
,
May,
Squad,
Utilization,58.06%
Target Utilization,65.00%
,
Biggie,
Utilization,62.10%
Target Utilization,70.00%
,
Smalls,
Display Price,59.68%
MSRP,70.00%
,
June,
Squad,
Utilization,72.22%
Target Utilization,75.00%
,
Biggie,
Utilization,39.58%
Target Utilization,70.00%
,
Smalls,
Display Price,51.67%
MSRP,65.00%
,
July,
Squad,
Utilization,58.06%
Target Utilization,75.00%
,
Biggie,
Utilization,59.68%
Target Utilization,70.00%
,
Smalls,
Display Price,67.74%
MSRP,75.00%
,
August,
Squad,
Utilization,39.78%
Target Utilization,75.00%
,
Biggie,
Utilization,62.50%
Target Utilization,75.00%
,
Smalls,
Display Price,53.23%
MSRP,75.00%
,
September,
Squad,
Utilization,44.44%
Target Utilization,55.00%
,
Biggie,
Utilization,67.41%
Target Utilization,80.00%
,
Smalls,
Display Price,76.67%
MSRP,80.00%
,
October,
Squad,
Utilization,35.48%
Target Utilization,40.00%
,
Biggie,
Utilization,38.71%
Target Utilization,40.00%
,
Smalls,
Display Price,12.90%
MSRP,13.00%
,
November,
Squad,
Utilization,22.22%
Target Utilization,25.00%
,
Biggie,
Utilization,34.17%
Target Utilization,35.00%
,
Smalls,
Display Price,0.00%
MSRP,5.00%
,
December,
Squad,
Utilization,9.68%
Target Utilization,10.00%
,
Biggie,
Utilization,13.08%
Target Utilization,15.00%
,
Smalls,
Utilization,0.00%
Target Utilization,0.00%
